the_geom,OBJECTID,CAM_NUM,NOTES,LOCATION,PROJ,XCOORD,YCOORD
"{type=Point, coordinates=List(-76.62116100049714, 39.2447829998452)}",170,343,,835 Seagull Ave.,BPD Cameras,-76.621161,39.24478299
"{type=Point, coordinates=List(-76.62079542878799, 39.2445016516922)}",171,342,,Behind 835 Seagull Ave,BPD Cameras,-76.62079542,39.24450165
"{type=Point, coordinates=List(-76.6238260000613, 39.2450609999649)}",172,330,,Bethune Rd - Bunche Rd,BPD Cameras,-76.623826,39.24506099
"{type=Point, coordinates=List(-76.62434299944988, 39.24541099990225)}",173,329,,Coppin Ct - Bunche Rd .,BPD Cameras,-76.62434299,39.24541099
"{type=Point, coordinates=List(-76.62625599968621, 39.247835999771084)}",174,348,,2627 Carver Rd,BPD Cameras,-76.62625599,39.24783599
"{type=Point, coordinates=List(-76.62539999946088, 39.246813000118195)}",175,346,,Carver Rd - Bridgeview Rd,BPD Cameras,-76.62539999,39.246813
"{type=Point, coordinates=List(-76.62563600028605, 39.247805999669936)}",176,347,,Rear of 2805 Carver Rd.,BPD Cameras,-76.625636,39.24780599
"{type=Point, coordinates=List(-76.62582199948761, 39.248641999653856)}",177,349,,2609 Carver Rd.,BPD Cameras,-76.62582199,39.24864199
"{type=Point, coordinates=List(-76.62532200028838, 39.2484500002096)}",178,350,,2615 Carver Rd. (in circle),BPD Cameras,-76.625322,39.24845
"{type=Point, coordinates=List(-76.62912223817527, 39.24541761166086)}",179,320,,Side of 2810 Denham Cr.,BPD Cameras,-76.62912223,39.24541761
"{type=Point, coordinates=List(-76.62468329116662, 39.24636595543014)}",180,345,,Carver Rd. Front of School,BPD Cameras,-76.62468329,39.24636595
"{type=Point, coordinates=List(-76.62679199990927, 39.242727999606075)}",181,334,,Back Circle 1019 Bethune Rd.,BPD Cameras,-76.62679199,39.24272799
"{type=Point, coordinates=List(-76.55580999982925, 39.28705000030834)}",182,402,,Eastern Ave - Oldham St,BPD Cameras,-76.55580999,39.28705
"{type=Point, coordinates=List(-76.5580529995371, 39.28714199977373)}",183,403,,Eastern Ave - S Lehigh St,BPD Cameras,-76.55805299,39.28714199
"{type=Point, coordinates=List(-76.55659199974906, 39.28703399989268)}",184,404,,Eastern Ave - S Newkirk St,BPD Cameras,-76.55659199,39.28703399
"{type=Point, coordinates=List(-76.60946388864431, 39.318147222248705)}",185,509,,Greenmount Ave - E 25th St,BPD Cameras,-76.60946388,39.31814722
"{type=Point, coordinates=List(-76.61216944366915, 39.31806111093442)}",186,508,,Falls St Alley - E 25th St,BPD Cameras,-76.61216944,39.31806111
"{type=Point, coordinates=List(-76.60876944373977, 39.316588889051346)}",187,510,,Boone St - E 24th St,BPD Cameras,-76.60876944,39.31658888
"{type=Point, coordinates=List(-76.61042777807577, 39.31625833333014)}",188,512,,Brentwood Ave - E 24th St,BPD Cameras,-76.61042777,39.31625833
"{type=Point, coordinates=List(-76.61315555641114, 39.32208055605459)}",189,501,,Guilford Ave - E 28th St,BPD Cameras,-76.61315555,39.32208055
"{type=Point, coordinates=List(-76.60744444394358, 39.31603611101881)}",190,511,,Cokesbury Ave - E 23rd St,BPD Cameras,-76.60744444,39.31603611
"{type=Point, coordinates=List(-76.60952500034412, 39.3154916669478)}",191,513,,Greenmount Ave - E 23rd St,BPD Cameras,-76.609525,39.31549166
"{type=Point, coordinates=List(-76.60820277802853, 39.31543888857741)}",192,515,,23rd ST. - Boone,BPD Cameras,-76.60820277,39.31543888
"{type=Point, coordinates=List(-76.61271666744858, 39.3154249995925)}",193,514,,Guilford Ave - E 23rd St,BPD Cameras,-76.61271666,39.31542499
"{type=Point, coordinates=List(-76.60955555559958, 39.314508333063365)}",194,516,,Greenmount Ave - E 22nd St,BPD Cameras,-76.60955555,39.31450833
"{type=Point, coordinates=List(-76.60732222219858, 39.314627778218046)}",195,517,,Homewood Ave - E 22nd St,BPD Cameras,-76.60732222,39.31462777
"{type=Point, coordinates=List(-76.60845277757721, 39.31353888931797)}",196,520,,Boone St - E 21st St,BPD Cameras,-76.60845277,39.31353888
"{type=Point, coordinates=List(-76.60953611137165, 39.31273611097298)}",197,521,,Greenmount Ave - Worsley St,BPD Cameras,-76.60953611,39.31273611
"{type=Point, coordinates=List(-76.6110527782617, 39.31243333310744)}",198,522,,Barclay St - E 20th St,BPD Cameras,-76.61105277,39.31243333
"{type=Point, coordinates=List(-76.60953333311252, 39.32001111134366)}",199,506,,Greenmount Ave - E Lorraine Ave,BPD Cameras,-76.60953333,39.32001111
"{type=Point, coordinates=List(-76.61103055577628, 39.31201666706642)}",200,523,,Barclay St - Heaver St,BPD Cameras,-76.61103055,39.31201666
"{type=Point, coordinates=List(-76.6118083331502, 39.3113055560125)}",201,525,,E North Ave - Guilford Ave,BPD Cameras,-76.61180833,39.31130555
"{type=Point, coordinates=List(-76.6095083327694, 39.3221500002626)}",202,502,,Greenmount Ave - E 28th St,BPD Cameras,-76.60950833,39.32215
"{type=Point, coordinates=List(-76.61363055551874, 39.31057777808282)}",203,526,,N Calvert St - McAllister St,BPD Cameras,-76.61363055,39.31057777
"{type=Point, coordinates=List(-76.61089166674402, 39.310033333186055)}",204,528,,Barclay St - E Lafayette Ave,BPD Cameras,-76.61089166,39.31003333
"{type=Point, coordinates=List(-76.61238055551523, 39.31009166681988)}",205,527,,Guilford Ave - E Lafayette Ave,BPD Cameras,-76.61238055,39.31009166
"{type=Point, coordinates=List(-76.61295277756716, 39.31951944409481)}",206,507,,Guilford Ave - E 26th St,BPD Cameras,-76.61295277,39.31951944
"{type=Point, coordinates=List(-76.61075000013568, 39.30846388935606)}",207,529,,Barclay St - Pitman Pl,BPD Cameras,-76.61075,39.30846388
"{type=Point, coordinates=List(-76.60819999948933, 39.30483888917163)}",208,530,,Greenmount Ave - E Preston St,BPD Cameras,-76.60819999,39.30483888
"{type=Point, coordinates=List(-76.6079305560139, 39.303783333436144)}",209,531,,Greenmount Ave - E Biddle St,BPD Cameras,-76.60793055,39.30378333
"{type=Point, coordinates=List(-76.609533332536, 39.320922221923695)}",210,503,,Greenmount-27th,BPD Cameras,-76.60953333,39.32092222
"{type=Point, coordinates=List(-76.61114722159486, 39.32088055614318)}",211,504,,Barclay St - E 27th St,BPD Cameras,-76.61114722,39.32088055
"{type=Point, coordinates=List(-76.61260555542326, 39.31339722194636)}",212,519,,Guilford Ave - E 21st St,BPD Cameras,-76.61260555,39.31339722
"{type=Point, coordinates=List(-76.60764166679922, 39.302733333409535)}",213,532,,Greenmount Ave - E Chase St,BPD Cameras,-76.60764166,39.30273333
"{type=Point, coordinates=List(-76.60726944444734, 39.301361110554815)}",214,533,,Greenmount Ave - E Eager St,BPD Cameras,-76.60726944,39.30136111
"{type=Point, coordinates=List(-76.60961944352789, 39.311216666745224)}",215,524,,Greenmount - E North Ave,BPD Cameras,-76.60961944,39.31121666
"{type=Point, coordinates=List(-76.61115833318972, 39.321522221735016)}",216,505,,Barclay St - Whitridge Ave,BPD Cameras,-76.61115833,39.32152222
"{type=Point, coordinates=List(-76.55732700009702, 39.287016000331086)}",217,401,,Eastern Ave - S Macon St,BPD Cameras,-76.557327,39.287016
"{type=Point, coordinates=List(-76.58786899976982, 39.298647000073274)}",218,601,,E Monument St - N Chester St,BPD Cameras,-76.58786899,39.298647
"{type=Point, coordinates=List(-76.58714979878015, 39.297607090724256)}",219,602,,McElderry St - N Duncan St,BPD Cameras,-76.58714979,39.29760709
"{type=Point, coordinates=List(-76.58599108448769, 39.299697261669834)}",220,604,,E Madison St - N Mederia St,BPD Cameras,-76.58599108,39.29969726
"{type=Point, coordinates=List(-76.58499330301554, 39.29866982736016)}",221,605,,E Monument St - N Patterson Park Ave,BPD Cameras,-76.5849933,39.29866982
"{type=Point, coordinates=List(-76.5842986106816, 39.29762162073451)}",222,606,,McElderry St - N Bradford St,BPD Cameras,-76.58429861,39.29762162
"{type=Point, coordinates=List(-76.58372099972317, 39.29880699956364)}",223,607,,E Monument St - N Montford Ave,BPD Cameras,-76.58372099,39.29880699
"{type=Point, coordinates=List(-76.5830809995347, 39.299893000111716)}",224,608,,E Madison -N Port,BPD Cameras,-76.58308099,39.299893
"{type=Point, coordinates=List(-76.582319000546, 39.298861000119444)}",225,609,,E Monument St - N Milton Ave,BPD Cameras,-76.582319,39.298861
"{type=Point, coordinates=List(-76.5814688801763, 39.29781050718433)}",226,610,,McElderry St - N Rose St,BPD Cameras,-76.58146888,39.2978105
"{type=Point, coordinates=List(-76.5809050002332, 39.29891499969387)}",227,611,,E Monument St - N Luzerne Ave,BPD Cameras,-76.580905,39.29891499
"{type=Point, coordinates=List(-76.58026300055423, 39.2999970001303)}",228,612,,E Madison St - N Glover St,BPD Cameras,-76.580263,39.299997
"{type=Point, coordinates=List(-76.57949300019817, 39.29896599979731)}",229,613,,E Monument St - N Lakewood Ave,BPD Cameras,-76.579493,39.29896599
"{type=Point, coordinates=List(-76.5786311025256, 39.297950614217925)}",230,614,,McElderry St - N Belnord Ave,BPD Cameras,-76.5786311,39.29795061
"{type=Point, coordinates=List(-76.57808500048887, 39.299028999919685)}",231,615,,E Monument St - N Kenwood Ave,BPD Cameras,-76.578085,39.29902899
"{type=Point, coordinates=List(-76.57743699968589, 39.300113000100986)}",232,616,,E Madison St - N Streeper St,BPD Cameras,-76.57743699,39.300113
"{type=Point, coordinates=List(-76.57646656046089, 39.297907025198455)}",233,617,,McElderry St - N Linwood Ave,BPD Cameras,-76.57646656,39.29790702
"{type=Point, coordinates=List(-76.57596200026104, 39.29911200039564)}",234,618,,E Monument St - N Curley St,BPD Cameras,-76.575962,39.299112
"{type=Point, coordinates=List(-76.57506644702904, 39.298065813313585)}",235,619,,McElderry St - N Potomac St,BPD Cameras,-76.57506644,39.29806581
"{type=Point, coordinates=List(-76.57441735348365, 39.29909325717797)}",236,620,,E Monument - Decker,BPD Cameras,-76.57441735,39.29909325
"{type=Point, coordinates=List(-76.57390800040454, 39.300243000199266)}",237,621,,E Madison St - N Ellwood Ave,BPD Cameras,-76.573908,39.300243
"{type=Point, coordinates=List(-76.57312100056225, 39.299224999555655)}",238,622,,E Monument St - N Robinson St,BPD Cameras,-76.573121,39.29922499
"{type=Point, coordinates=List(-76.57604000039647, 39.30015100036809)}",239,623,,E Madison St - N Curley St,BPD Cameras,-76.57604,39.300151
"{type=Point, coordinates=List(-76.57308697749897, 39.298040905000356)}",240,624,,McElderry St - N Robinson St,BPD Cameras,-76.57308697,39.2980409
"{type=Point, coordinates=List(-76.65807099972936, 39.307524000246694)}",241,701,,Thomas Ave - Presbury St,BPD Cameras,-76.65807099,39.307524
"{type=Point, coordinates=List(-76.65811499945944, 39.30843200037786)}",242,701,,Thomas Ave - Westwood Ave,BPD Cameras,-76.65811499,39.308432
"{type=Point, coordinates=List(-76.65818000051125, 39.309430999558636)}",243,703,,W North Ave - Thomas Ave,BPD Cameras,-76.65818,39.30943099
"{type=Point, coordinates=List(-76.65715400056126, 39.30848899966527)}",244,704,,N Warwick Ave - Westwood Ave,BPD Cameras,-76.657154,39.30848899
"{type=Point, coordinates=List(-76.65591200051925, 39.30851399983275)}",245,705,,Moreland Ave - Westwood Ave,BPD Cameras,-76.655912,39.30851399
"{type=Point, coordinates=List(-76.65599399985922, 39.3095080004389)}",246,706,,W North Ave - Moreland Ave,BPD Cameras,-76.65599399,39.309508
"{type=Point, coordinates=List(-76.65407099946724, 39.30859799975051)}",247,707,,N Bentalou St - Westwood Ave,BPD Cameras,-76.65407099,39.30859799
"{type=Point, coordinates=List(-76.65266599960938, 39.30866600015264)}",248,708,,N Smallwood St - Westwood Ave,BPD Cameras,-76.65266599,39.308666
"{type=Point, coordinates=List(-76.65271199970661, 39.3096129999102)}",249,709,,W North Ave - N Smallwood St,BPD Cameras,-76.65271199,39.30961299
"{type=Point, coordinates=List(-76.65280400039926, 39.31124500020305)}",250,710,,N Smallwood St - Ridgehill Ave,BPD Cameras,-76.652804,39.311245
"{type=Point, coordinates=List(-76.65125899995842, 39.30869399968456)}",251,711,,N Pulaski St - Westwood Ave,BPD Cameras,-76.65125899,39.30869399
"{type=Point, coordinates=List(-76.65133900019057, 39.30967999995533)}",252,712,,W North Ave - N Pulaski St,BPD Cameras,-76.651339,39.30967999
"{type=Point, coordinates=List(-76.65137600033718, 39.31021899972336)}",253,713,,N Pulaski St - Herbert St,BPD Cameras,-76.651376,39.31021899
"{type=Point, coordinates=List(-76.65139699965172, 39.310762999743034)}",254,714,,N Pulaski St - Walbrook Ave,BPD Cameras,-76.65139699,39.31076299
"{type=Point, coordinates=List(-76.64992099985888, 39.30973000041845)}",255,715,,W North Ave - N Payson St,BPD Cameras,-76.64992099,39.30973
"{type=Point, coordinates=List(-76.64995500052332, 39.31039200036821)}",256,716,,N Payson St - Herbert St,BPD Cameras,-76.649955,39.310392
"{type=Point, coordinates=List(-76.64998800026747, 39.310830999587075)}",257,717,,N Payson St - Walbrook Ave,BPD Cameras,-76.649988,39.31083099
"{type=Point, coordinates=List(-76.65001100023906, 39.31157999996482)}",258,718,,N Payson St - Ridgehill Ave,BPD Cameras,-76.650011,39.31157999
"{type=Point, coordinates=List(-76.64899599969422, 39.308784999822244)}",259,719,,Appleton St - Westwood Ave,BPD Cameras,-76.64899599,39.30878499
"{type=Point, coordinates=List(-76.64812400037303, 39.308811999644945)}",260,720,,N Monroe St - Westwood Ave,BPD Cameras,-76.648124,39.30881199
"{type=Point, coordinates=List(-76.64817999959062, 39.30981299989165)}",261,721,,W North Ave - N Monroe St,BPD Cameras,-76.64817999,39.30981299
"{type=Point, coordinates=List(-76.64823699968116, 39.31088299957972)}",262,722,,N Monroe St - Walbrook Ave,BPD Cameras,-76.64823699,39.31088299
"{type=Point, coordinates=List(-76.64645900027314, 39.308852999929194)}",263,723,,N Fulton Ave - Westwood Ave,BPD Cameras,-76.646459,39.30885299
"{type=Point, coordinates=List(-76.64651799944635, 39.309888999816074)}",264,724,,W North Ave - N Fulton Ave,BPD Cameras,-76.64651799,39.30988899
"{type=Point, coordinates=List(-76.64663314794892, 39.310847589039085)}",265,725,,N Fulton Ave - Walbrook Ave,BPD Cameras,-76.64663314,39.31084758
"{type=Point, coordinates=List(-76.64494599980563, 39.30889300019384)}",266,726,,N Mount St - Westwood Ave,BPD Cameras,-76.64494599,39.308893
"{type=Point, coordinates=List(-76.6437199999716, 39.3100240002384)}",267,727,,W North Ave - N Carey St,BPD Cameras,-76.64371999,39.310024
"{type=Point, coordinates=List(-76.64239257632293, 39.30989087933435)}",268,728,,W North Ave - Pennsylvania Ave,BPD Cameras,-76.64239257,39.30989087
"{type=Point, coordinates=List(-76.64348888858527, 39.30803099962483)}",269,729,,Cumberland St  &  N Calhoun St,BPD Cameras,-76.64348888,39.30803099
"{type=Point, coordinates=List(-76.64162546431726, 39.30921121164034)}",270,730,,Cumberland St - Pennsylvania Ave,BPD Cameras,-76.64162546,39.30921121
"{type=Point, coordinates=List(-76.640911999535, 39.310152999966604)}",271,731,,W North Ave - Division St,BPD Cameras,-76.64091199,39.31015299
"{type=Point, coordinates=List(-76.64120999963099, 39.31051499975306)}",272,732,,Whitelock St - Woodbrook Ave,BPD Cameras,-76.64120999,39.31051499
"{type=Point, coordinates=List(-76.64070400044619, 39.310861000405325)}",273,733,,Ettiing St - Whitelock St,BPD Cameras,-76.640704,39.310861
"{type=Point, coordinates=List(-76.64014099964483, 39.31118499996423)}",274,734,,Whitelock St - Francis St,BPD Cameras,-76.64014099,39.31118499
"{type=Point, coordinates=List(-76.63929596463005, 39.3115604435902)}",275,735,,Druid Hill Ave - Whitelock St,BPD Cameras,-76.63929596,39.31156044
"{type=Point, coordinates=List(-76.63698599945785, 39.31031900011585)}",276,742,,W North Ave - McCulloh St,BPD Cameras,-76.63698599,39.310319
"{type=Point, coordinates=List(-76.66312200053221, 39.33266999961111)}",277,801,,Reisterstown Rd - Keyworth Ave,BPD Cameras,-76.663122,39.33266999
"{type=Point, coordinates=List(-76.66403099946815, 39.3338730004297)}",278,802,,Reisterstown Rd - Shirley Ave,BPD Cameras,-76.66403099,39.333873
"{type=Point, coordinates=List(-76.66598930993612, 39.334465471114434)}",279,803,,Towonda Ave - Oswego Ave,BPD Cameras,-76.6659893,39.33446547
"{type=Point, coordinates=List(-76.66688400050529, 39.33757100013832)}",280,804,,Reisterstown Rd - Grantley Ave,BPD Cameras,-76.666884,39.337571
"{type=Point, coordinates=List(-76.66947599951142, 39.33727299991111)}",281,805,,Boarman Ave - Willowdale Ave,BPD Cameras,-76.66947599,39.33727299
"{type=Point, coordinates=List(-76.67358264260564, 39.347399274366666)}",282,806,,Park Heights Ave - W Garrison Ave,BPD Cameras,-76.67358264,39.34739927
"{type=Point, coordinates=List(-76.66840600018145, 39.3394450002735)}",283,807,,Reisterstown Rd - Laporte St,BPD Cameras,-76.668406,39.339445
"{type=Point, coordinates=List(-76.67148515649832, 39.3402730132851)}",284,808,,Reisterstown Rd - St Ambrose Ave,BPD Cameras,-76.67148515,39.34027301
"{type=Point, coordinates=List(-76.68028099964353, 39.34630499999904)}",285,809,,W Belvedere Ave - Litchfield Ave,BPD Cameras,-76.68028099,39.34630499
"{type=Point, coordinates=List(-76.67140000018317, 39.345194999602995)}",286,810,,Park Heights Ave - Woodland,BPD Cameras,-76.6714,39.34519499
"{type=Point, coordinates=List(-76.67480099993155, 39.346728000241306)}",287,811,,W Garrison Ave - Denmore Ave,BPD Cameras,-76.67480099,39.346728
"{type=Point, coordinates=List(-76.67238699977906, 39.348089000335904)}",288,812,,W Garrison Ave - Palmer Ave,BPD Cameras,-76.67238699,39.348089
"{type=Point, coordinates=List(-76.66671399946037, 39.34239699955668)}",289,813,,Pimlico Rd - Sumter Ave,BPD Cameras,-76.66671399,39.34239699
"{type=Point, coordinates=List(-76.66510552209976, 39.340200408888144)}",290,814,,Pimlico Rd - W Cold Spring Ln,BPD Cameras,-76.66510552,39.3402004
"{type=Point, coordinates=List(-76.66293299985722, 39.33741699960547)}",291,815,,Quantico Ave - Pimlico Rd,BPD Cameras,-76.66293299,39.33741699
"{type=Point, coordinates=List(-76.66361957847303, 39.338539825255346)}",292,816,,Pimlico Rd - Loyola Northway,BPD Cameras,-76.66361957,39.33853982
"{type=Point, coordinates=List(-76.66397399978881, 39.33899899993484)}",293,817,,Pimlico Rd - Rosewood Ave,BPD Cameras,-76.66397399,39.33899899
"{type=Point, coordinates=List(-76.67768240026321, 39.3528728601102)}",294,818,,Winner Ave - Avondale Ave,BPD Cameras,-76.6776824,39.35287286
"{type=Point, coordinates=List(-76.67887330102118, 39.35000441356437)}",295,819,,Park Heights Ave - Hayward Ave,BPD Cameras,-76.6788733,39.35000441
"{type=Point, coordinates=List(-76.68332308452771, 39.35185450302924)}",296,820,,Park Heights-Rogers,BPD Cameras,-76.68332308,39.3518545
"{type=Point, coordinates=List(-76.68523684137287, 39.35301493088311)}",297,821,,Park Heights Ave - Manhattan Ave,BPD Cameras,-76.68523684,39.35301493
"{type=Point, coordinates=List(-76.68816715458922, 39.355662377977374)}",298,822,,Park Heights Ave - Glen Ave,BPD Cameras,-76.68816715,39.35566237
"{type=Point, coordinates=List(-76.6912235325089, 39.35740447444295)}",299,823,,Park Heights Ave - Taney,BPD Cameras,-76.69122353,39.35740447
"{type=Point, coordinates=List(-76.69390171759424, 39.35877634425389)}",300,824,,Park Heights Ave - W Strathmore Ave,BPD Cameras,-76.69390171,39.35877634
"{type=Point, coordinates=List(-76.69657185649744, 39.36016166681906)}",301,825,,Park Heights Ave - Fords Ln.,BPD Cameras,-76.69657185,39.36016166
"{type=Point, coordinates=List(-76.69965907844293, 39.36236195187635)}",302,826,,Park Heights Ave - Clarks Ln.,BPD Cameras,-76.69965907,39.36236195
"{type=Point, coordinates=List(-76.70281872209704, 39.364946834022376)}",303,827,,Park Heights Ave - Fallstaff Rd,BPD Cameras,-76.70281872,39.36494683
"{type=Point, coordinates=List(-76.67585045099956, 39.348869861660745)}",304,828,,Park Heights Ave - W Belvedere Ave,BPD Cameras,-76.67585045,39.34886986
"{type=Point, coordinates=List(-76.67046993958415, 39.344110560252965)}",305,829,,Park Heights Ave - Virginia Ave,BPD Cameras,-76.67046993,39.34411056
"{type=Point, coordinates=List(-76.66756913151808, 39.341017721231566)}",306,830,,Park Heights Ave - Wiley Ave,BPD Cameras,-76.66756913,39.34101772
"{type=Point, coordinates=List(-76.66328000028687, 39.33563000013025)}",307,831,,Park Heights Ave - Oswego Ave,BPD Cameras,-76.66328,39.33563
"{type=Point, coordinates=List(-76.68628424394461, 39.35389535138531)}",308,832,,Park Heights Ave - Trainor Ave(JCC),BPD Cameras,-76.68628424,39.35389535
"{type=Point, coordinates=List(-76.68757438747254, 39.354996637303124)}",309,833,,Park Heights Ave - Trainor Ave,BPD Cameras,-76.68757438,39.35499663
"{type=Point, coordinates=List(-76.68969467277236, 39.35644425284856)}",310,834,,Park Heights Ave - Menlo Dr,BPD Cameras,-76.68969467,39.35644425
"{type=Point, coordinates=List(-76.69277787180538, 39.3581842560258)}",311,835,,Park Heights Ave - Pinkney Rd,BPD Cameras,-76.69277787,39.35818425
"{type=Point, coordinates=List(-76.69433355317699, 39.35900135765451)}",312,836,,Park Heights Ave - W Strathmore Ave,BPD Cameras,-76.69433355,39.35900135
"{type=Point, coordinates=List(-76.69784992887001, 39.360900978921535)}",313,837,,Park Heights Ave - Bancroft Rd,BPD Cameras,-76.69784992,39.36090097
"{type=Point, coordinates=List(-76.69887989751714, 39.36173878687584)}",314,838,,Park Heights Ave - N.Bancroft Rd,BPD Cameras,-76.69887989,39.36173878
"{type=Point, coordinates=List(-76.5549809996154, 39.28710200024533)}",315,405,,Eastern Ave - S Ponca St,BPD Cameras,-76.55498099,39.287102
"{type=Point, coordinates=List(-76.67114000002017, 39.30896499999892)}",316,901,,W North Ave - Bloomingdale Rd,BPD Cameras,-76.67114,39.30896499
"{type=Point, coordinates=List(-76.66933799960425, 39.3090020001458)}",317,902,,W North Ave - N Rosedale St - 1.1.9.2,BPD Cameras,-76.66933799,39.309002
"{type=Point, coordinates=List(-76.66756300054163, 39.3090790001443)}",318,903,,W North Ave - N Longwood St,BPD Cameras,-76.667563,39.309079
"{type=Point, coordinates=List(-76.66566878594904, 39.309231964910595)}",319,904,,North Ave - Poplar Grove St,BPD Cameras,-76.66566878,39.30923196
"{type=Point, coordinates=List(-76.66403199990624, 39.30921200001954)}",320,905,,W North Ave - N Dukeland St,BPD Cameras,-76.66403199,39.309212
"{type=Point, coordinates=List(-76.66115500022657, 39.309310999985705)}",321,906,,W North Ave - Braddish Ave,BPD Cameras,-76.661155,39.30931099
"{type=Point, coordinates=List(-76.66477024547045, 39.30817769118205)}",322,907,,Westwood Ave (Dead End),BPD Cameras,-76.66477024,39.30817769
"{type=Point, coordinates=List(-76.6691790003141, 39.30647799999845)}",323,908,,N Rosedale St - Grayson St,BPD Cameras,-76.669179,39.30647799
"{type=Point, coordinates=List(-76.66556820265278, 39.307158682762385)}",324,909,,Poplar Grove St - Presbury St,BPD Cameras,-76.6655682,39.30715868
"{type=Point, coordinates=List(-76.6638250003687, 39.306043000036844)}",325,910,,Baker St - N Dukeland St,BPD Cameras,-76.663825,39.306043
"{type=Point, coordinates=List(-76.6670049996289, 39.30524199983688)}",326,911,,Bloomingdale Rd - Brighton St,BPD Cameras,-76.66700499,39.30524199
"{type=Point, coordinates=List(-76.66559234348745, 39.30466090819334)}",327,912,,Poplar Grove St - Pressman St,BPD Cameras,-76.66559234,39.3046609
"{type=Point, coordinates=List(-76.66616901808761, 39.30353703487829)}",328,913,,Blooomingdale Rd - Belmont Ave,BPD Cameras,-76.66616901,39.30353703
"{type=Point, coordinates=List(-76.66897800005985, 39.30295800000566)}",329,914,,N Rosedale St - Normount Ct,BPD Cameras,-76.668978,39.302958
"{type=Point, coordinates=List(-76.66734200040692, 39.30131600030427)}",330,915,,Winchester St - N Longwood St,BPD Cameras,-76.667342,39.301316
"{type=Point, coordinates=List(-76.6656513513203, 39.302175495634344)}",331,916,,Bloomingdale Rd - Ellicott Driveway,BPD Cameras,-76.66565135,39.30217549
